text,rating,comment
"In my post I listed several arguments for the existence of God. 

The arguments I gave also do not end with ""Therefore God is possible."" They end with variants of ""Therefore God exists."" If you accept the premises then the conclusion necessarily follows. Some may not seem as obvious (such as the Kalam) but when parsed out leads to a powerful, immaterial, personal cause that exists outside of time and space. 

The argument for the resurrection uses the Bible but I don't assume that the Bible is the word of God or even accurate when I use it. I treat it as a historical document and use principals found in Bayesian probability theory to make the case for the most likely explanation. 

",12,Touchy subject with condescending tone
"> There is currently no way to actual prove his existence, therefore God does not exist.

You don't seem to take the scientific method to heart very much.",25,Charged accusatory language
"there is a difference between a belief and actual existence. People can believe in purple bunnies, that does not mean they exist.

The scientific method talks about setting up an observation, testing it, then concluding the hypothesis being correct or not.

Everything i know that exists can be proven, now my beliefs are different. And i know not everything i believe in is correct, were not all knowing after all.

Remove the word believe if it makes it confusing. I know he isnt real because you cannot prove it.

",50,Charged argument
"Once you make an affirmative claim like you just did: GOD EXISTS..


Now you have the small problem of showing evidence for that claim. And you have none. 

you are starting with a conclusion already in mind and then matching things to meet that conclusion which means that you are swimming in confirmation bias. You are just keeping what you like and getting rid of what doesn't mean your final conclusion. 

you make any claims that you want. They just are useless without evidence. 

Can't you see that anything you can do to prove my God, I can do to ""prove"" the the invisible flying dragon I just made up.

Believe in it all you want. Believe deeply. But you haven't proven anything since you don't have any evidence. ",8,Statements are expressed in condescending language.
"""We cannot scientifically test the existence of God"", is a claim.

How do you propose we test it?",95,Neutral language but in context could be seen as a challenge
"I gave multiple arguments for the existence of God. 

The question was ""is there a reason to believe that God does not exist?""",92,Neutral language
Can you put the scientific method itself to this test?,99,Professionally stated question.
"arguments of the existence of God is not evidence. 

You understand this correct?

",77,Last question could appear challenging
"Evidence is used in the premise of a syllogism.

All men are mortal.  
Socrates is a man.  
Therefore Socrates is mortal.

This is not evidence but the evidence for ""all men are mortal"" and ""Socrates is a man"" would be used to reach the conclusion that ""Socrates is mortal.""",96,Simple logical statements
"I'm not the person you're responding to.  That said....

In order to have a rational discourse, a few presuppositions have to be made concerning the nature of reality.  Two that come to mind : Reality exists, and our senses are giving us a reliable view of that reality.  

We employ the information provided by our senses to understand reality and survive in it.  The scientific method is just an extention of that.  The only way to deny or question it is to start questioning our perception of reality, which makes rational discourse impossible.",93,Professionally stated thoughts
But a materialistic view as expressed through natural selection can directly bring those senses into question. If reason leads us to natural selection and natural selection leads back to a lack of confidence in our reason then the view self-destructs. ,91,Professionally stated thoughts
">The only way to deny or question it is to start questioning our perception of reality, which makes rational discourse impossible. 

Descartes would disagree.

The scientific method is inductive reasoning, and we can rule that out and still be left with deductive reasoning.  Rational discourse is entirely possible when limited to deduction.  

In fact, given that there is no non-circular argument for induction, one might argue that inductive reasoning is inherently irrational.  ",91,Slightly condescending by introducing expert outside material
"That's a perfectly valid criticism to make.  But I would argue that going that route renders the entire argument meaningless.  If you're going to question your ability to perceive reality, then you can't justify any knowledge or beliefs you have concerning reality.

So while it is reasonable to suspect one's senses for the purpose of a philosophical debate, it isn't really meaningful outside of that context.  In reality, you rely on your senses to survive.  And you employ a form of the scientific method in order to do so.",88,Professionally stated thoughts
"trying to come up with a test that proves the existence of god?

good luck with that ;)",47,The wink emoji suggests sarcasm
"How would an argument directly for the nonexistence of something unfalsifiable even work? Why is this something we'd expect to see even if we knew for sure there was no God? I can posit countless hypothetical entities defined in such a way that they'd be impossible to disprove directly regardless of whether they exist. When talking about God, we can take it as a given that any argument against is going to be a counterargument to an argument for God.",95,Simple logical statements
"The easiest by far argument against the existence of God, is the ""reverse No-True Scotsman"". Since the definition of what/who god is, is completely subjective and open, no matter what proof you show, it can be dismissed as ""no, I meant a different kind of god (insert a special quality here)"". 
Even if god himself were to show up personally and do an AMA, we could dismiss him/her/it as ""not the ACTUAL god, just some kind of absolute cosmic creator, but surely not THE creator"".",19,Hypotheticals presented in sarcastic tone
"alright first we need to define what kind of god you are referring to, if its the omnipotent omniscient god type then there is a very simple reason why it does not exist. 

we are unable to properly verify omnipotence, thus we are not capable of acknowledging a being as being such. thus god does not exist",95,Statement is presented in simple terms
"Well what is your claim that God exists? and we can put that claim to a test.

If you say he can heal x y z, we can set up the experiement where he hast the chance to.

If you say he is all seeing, we can set up a test to see if it is true, of course you have to find a way to communicate with him.",24,Condescending tone
">I define God as the greatest conceivable being.

This can actually be proof that that God doesn't exist. I can prove this through the sheer power of numbers. Greatest implies a sense of quantity. If we posited any being that we might call God, who took up any infinite amount of space (just for one possible value of ""greatest"") then I can conceive a larger infinity that that being could fill, thus making that God fall short of that standard. Anything that is quantifiable, I can conceive of something larger than what actually exists, just by adding 1 to it.

So, if we're arguing that God, I can say that any being will fall short of that because of the nature of infinities and the infinite number of infinities and some infinities being larger than other infinities.",48,Neutral language but in context could be seen as a challenge
">There is currently no way to actual prove his existence, therefore God does not exist.

This statement shows failure to understand the scientific method. AccordIng to the scientific method in order to say ""X does not exist"" X must be falsified. In order for something to not exist according to science it must be tested and disproved.The existence of God cannot be proven or falsified and your statement is non-scientific reasoning. It would make more sense to say ""therfore I have no reason to believe"" or ""I'm not convinced"" but the claim ""God does not exist"" is a negative truth claim and must be supported with a falsification of the positive version of the claim.",14,Charged argument
"You said you're capable and willing to defend these arguments so I'll start with two simple questions:

What reason is there to believe objective moral values exist? I've never had a theist answer this question with anything but an appeal to emotion or popularity, or to ridicule moral relativism in place of it.

How can one possibly take a resurrection event as anything but near-zero probability in their Bayesian analysis without first already arguing that a god exists (therefore miracles can happen) and thus how are you not making a circular argument?",19,Questions are expressed in condescending language.
I thought theists usually argue that infinites can't actually exist (!?). I wonder how that works,94,Statements presented with a touch of sarcasm
"Using the same ""I can add 1 to it"" argument I can prove infinities exist as well, so just in case...",47,Condescending tone
"No rational atheist argues that they can conclusively prove that there is no God, nor is the onus on them to do so (see FSM, etc.).  Your post itself relies on a strawman.

I'm not going to try to change your view to a view that practically no one actually holds.
",18,Charged accusatory language
"I didn't ask for conclusive proof. Notice that the question asked for an argument. 

A single argument.

I did not make a strawman. I claimed that atheism is unable to provide an argument for the claim ""God does not exist.""",32,Charged language to challenge
"Man, you are asking some great questions. If you are honestly willing to dialogue with me about this I would be happy to answer anything you bring forward. 

If you would remind me in a week I would be happy to talk you through these. 

I honestly appreciate the critique but I'm asking the original question sincerely and so I feel I should keep my attention, at least for a short time, on the attempted responses. ",89,Nothing in language to provide much context on previous conversation's toxicity
Atheism does not assert that God doesn't exist.  ,91,Statement is presented in simple terms
"Several problems here:

1. I have defined God as the greatest conceivable being.

2. Are you saying our inability to properly verify the existence of something is an argument against its existence? So if we cannot properly verify that any specific person from a tribe exists that we can therefore conclude that no person from the tribe ever existed? Or before the discovery of the neutrino that we could conclude that neutrinos do not exist because we cannot observe them?

3. Why do humans have this special place in your perspective as the arbiters of all truth? Whereby if a human is not able to perceive of something that it therefore does not exist.

4. To be omnipotent means the ability to bring about any state of affairs which is logically possible for any one in that situation to bring about.",76,Charged language to challenge an idea
I defined what I meant by God in the original post. If you are claiming that an argument against something is the existence of alternative definitions then I'd be interested if you would be willing to actually defend that assertion.,77,"Question is asked to challenge, but might be curious in nature"
"Honestly, the New Atheist definition of atheism as ""a lack of belief in God"" is completely untenable. Philosophers simply don't use it as it leads to absurdities and cannot be wrong (it is always true and can be true along with theism). ",32,Charged accusatory language
I'll probably forget but if you know how the remind me thing works feel free to tag this comment and we can continue our discussion,98,Professionally stated request
"I'm not making a straw man, but I'm going to base my argument assuming that atheists make an argument that they don't make. 

Do you know what a straw man argument actually is?

",13,Question is asked with a very accusatory tone
"That's not a ""new atheism"" definition. That's literally what the word ""atheism"" means. 

And it doesn't matter how untenable you find it, it's literally what the people who disagree with you believe. 

I get that your job would be a lot easier if your atheists would just believe and defend the simple argument that you want to have, but (for the most part) they just don't.

Atheists lack a belief in God. That is all. If you want to refute that belief, the onus is on you to prove that there is a God. 

No appeal to authority about ""what most philosophers reject"" changes that.
",47,Statements are expressed with some condescending language.
"We aren't debating psychological states. We are debating truth claims. According to that definition of atheism my left foot is an atheist and my dog is an atheist. 

That definition is true regardless of whether God exists because it is a psychological state so with that definition both atheism and theism are true...

It is utterly useless.",48,Charged language
"thats the thing: YOU defined what you mean by GOD. Its not an agreed upon, intersubjective definition.

The IDEA of God is objectively undefendable, no matter how much proof you show to the contrary, unless we agree what we are looking for.

It makes as much sense as trying to prove the existence of Beauty, or Fairness. You can't prove something fundamentally undefined, and something un-provable cannot exist in any maningful way.",48,Capitalization and charged language
">thats the thing: YOU defined what you mean by GOD. Its not an agreed upon, intersubjective definition.

So if someone else comes up with another definition of science then all definitions of science can no longer be discussed and debated?

>The IDEA of God is objectively undefendable, no matter how much proof you show to the contrary, unless we agree what we are looking for.

I make the claim that it is more plausible than not that God, according to the definition I gave, exists. I am not debating other people's definitions of God nor am I saying that everyone agrees with my definition.",84,"Position is stated in fairly netural language. Question is charged
"
"God as a construct is impossible to prove nor disprove since he's considered to not exist in mortal world unless something unexplainable happens. That is a very handy way to keep god image alive and always have people doubting on either side. Gods existence is kind of similar in a way: if I said I have a cat next to me right now. You may or may not believe it but in the end it won't impact your current life, discussions around it would if that was a popular subject to talk about or had a following but the fact itself would be just as meaningless as trying to argue if it exists or not. It's quite a stretch from god but It captures the point I wanted to make.",40,Fairly netural language
